"#","kpi_layer","role","data_role","antifragility_property","theme","source_deliverable","section","original_term","standardised_variable_name","definition","unit","spatial_scale","temporal_scale","static_or_dynamic","time_series_possible","update_frequency","data_type","expected_data_source","availability","availability_notes","proxy_possible","proxy_variable","collection_method","priority","remarks"
"79","Layer 2","parameter","parameter","General/Context","supply","D2.3","§Calibration JSON","""beta_1: 0.57, beta_2: 0.43""","kpi_weights_beta_vector","Weights for negative-performance KPIs D_eff and S in Ē⁻; default β₁=0.57 (D_eff), β₂=0.43 (S)","dimensionless [0,1] per weight","city","annual","quasi-static","no","annual","numeric","AHP + Task 2.2 workshops","not yet collected","Default values per D2.3 calibration JSON","no","—","AHP + elastic-net regression","medium","Two weights for D_eff and S in Ē⁻"
"80","Layer 2","parameter","parameter","General/Context","infrastructure","D2.3","§Calibration JSON","""delta_transport: 1.0, delta_environment_weather: 0.9, delta_utilities: 0.9, delta_social: 0.9""","domain_impact_weight_delta","Domain-specific impact weights used in D_eff calculation; transport = 1.0 (highest), environment/weather = utilities = social = 0.9","dimensionless [0,1]","city","annual","static","no","annual","numeric","D2.3 default calibration; expert review","not yet collected","Expert-defined; can be updated from pilot data","no","—","Expert elicitation; AHP","medium","Four domain weights: δ_transport, δ_env_weather, δ_utilities, δ_social"
"81","Layer 2","parameter","parameter","General/Context","disruption","D2.3","§Calibration JSON","""omega_src_official: 1.0, omega_src_operator: 0.9, omega_src_sensor: 0.9, omega_src_social: 0.6, omega_src_survey: 0.6""","source_reliability_weight_omega_src","Source-type reliability weights used in D_eff calculation; official = 1.0, operator/sensor = 0.9, social media/survey = 0.6","dimensionless [0,1]","city","annual","static","no","annual","numeric","D2.3 default calibration","not yet collected","Expert-defined hierarchy reflecting data quality","no","—","Expert elicitation","medium","Five source types; social/survey weighted equally and lower"
"82","Layer 2","parameter","parameter","General/Context","disruption","D2.3","§Calibration JSON","""tau_days: 6""","disturbance_temporal_decay_tau","Temporal decay constant (τ) in days used in D_eff calculation; determines how quickly the influence of a past event fades; default τ = 6 days","days","city","annual","static","no","annual","numeric","Historical event recovery data","not yet collected","Recalibrated annually or after major events","no","—","Historical recovery analysis","medium","Exponential decay: exp(−(t−t_e)/τ)"
"83","Layer 2","parameter","parameter","General/Context","governance","D2.3","§Equilibrium Model","""Logit scale parameter θ = 0.1: moderate sensitivity to utility differences; lower θ → deterministic choice, higher θ → uniform randomness""","logit_scale_parameter_theta","Nested logit scale parameter controlling sensitivity of mode choice to utility differences; θ = 0.1 default (moderate sensitivity); city-specific calibration from revealed preference data","dimensionless","city","annual","quasi-static","no","annual","numeric","Smart-card revealed preference data; household surveys","not yet collected","City-specific calibration via Phase 2 (Task 2.2)","no","—","Revealed preference estimation from AFC traces","high","Governs Layer 2 modal split equilibrium"
"84","Layer 2","parameter","parameter","Institutional Learning","governance","D2.3","§Equilibrium Model","""Memory decay constant τ_L = 30 days""","learning_memory_decay_tau_L","Half-life of learning memory; exponential decay constant (τ_L = 30 days) controlling how quickly past interventions lose influence on the learning index L_index","days","city","annual","static","no","annual","numeric","D2.3 default; calibrated from historical data","not yet collected","Fixed at 30 days default; recalibratable from pilot data","no","—","Historical intervention analysis","medium","Applies to both L_trace and ρ_infra calculations"
"85","Layer 2","parameter","parameter","Institutional Learning","governance","D2.3","§Learning Index","""Short-term learning rate η_s = 0.1; Long-term learning rate η_ℓ = 0.01""","learning_rate_short_long","Two-timescale learning rates distinguishing temporary (η_s = 0.1) from permanent (η_ℓ = 0.01) capacity adaptations","per iteration","city","annual","static","no","annual","numeric","D2.3 default","not yet collected","Fixed default; not city-specific","no","—","D2.3 framework specification","high","Core of two-timescale capacity evolution mechanism"
"86","Layer 2","parameter","parameter","Equity Maintenance","governance","D2.3","§Convergence","""Equity non-worsening constraint: ΔQ ≤ 0""","equity_non_worsening_constraint","Binary constraint flag: ΔQ = Q_post − Q_baseline must be ≤ 0 for any intervention to be accepted; prevents interventions that worsen equity of accessibility","binary (satisfied/violated)","city","monthly","dynamic","yes","per intervention","binary","D2.3 Q(t) monitoring","not yet collected","Binding constraint in validation framework","no","—","Computed from Q(t) time series","high","Hard constraint; any positive ΔQ invalidates the intervention"
"87","Layer 2","input_variable","input","General/Context","supply","D2.3","§Theoretical Foundations","""State representation G=(S,u) where S ∈ ℝⁿ is the governing-variable vector, u: S → V is mapping from state to KPIs, V ∈ [0,1]^m is normalised KPI vector""","system_state_vector_G","Formal state representation of the urban mobility system: tuple G=(S,u) where S captures structural and operational variables; u(S) aggregates them into m=12 normalised KPI values V ∈ [0,1]^m","vector (dimensionless)","city","daily","dynamic","yes","daily","numeric","All 12 D2.3 KPI streams","not yet collected","Full state vector requires all 12 KPIs","no","—","Aggregated computation from all KPI streams","high","Theoretical anchor of D2.3 framework; basis for antifragility assessment"
"88","Layer 1","KPI","input","Post-Disruption Overcompensation","supply","D2.5","§6.4.4 SystemState","""AntifragilityScore — Quantitative measure of system antifragility - the Antifragility Factor (AF) from D2.3""","antifragility_score_ontology","Ontology data property representing the AF value; links SystemState to quantified antifragility measure; range: xsd:double","dimensionless","city","daily","dynamic","yes","daily","numeric","D2.3 AF computation","not yet collected","Instantiated as D2.5 class AntifragilityScore (SubClassOf: KpiObservation)","no","—","D2.3 Target-Setting Model output linked to ontology triple store","high","D2.5 semantic representation of D2.3 AF"
"89","Layer 1","KPI","input","General/Context","supply","D2.5","§6.4.4 SystemState","""ResilienceIndex — System resilience and recovery capability - incorporates the System Responsiveness Index (SRI) from D2.3""","resilience_index_ontology","Ontology data property representing system resilience; includes SRI; range: xsd:double","dimensionless","city","daily","dynamic","yes","daily","numeric","D2.3 SRI computation","not yet collected","D2.5 class ResilienceIndex (SubClassOf: KpiObservation)","no","—","D2.3 SRI computation linked to ontology","high","D2.5 semantic representation of D2.3 SRI"
"90","Layer 1","KPI","input","General/Context","supply","D2.5","§6.4.4 SystemState","""FragilityMetric""","fragility_metric_ontology","Ontology data property representing the fragility of the system state; inverse signal to AntifragilityScore","dimensionless","city","daily","dynamic","yes","daily","numeric","D2.3 model output","not yet collected","D2.5 class property on SystemState","no","—","D2.3 computation","high","Complement to AntifragilityScore"
"91","Layer 1","KPI","input","General/Context","supply","D2.5","§6.4.4 SystemState","""PerformanceTs — performance time series""","system_performance_time_series","Time-indexed series of composite performance index values Ē(t); links SystemState instances temporally","dimensionless time series","city","daily","dynamic","yes","daily","numeric","D2.3 Target-Setting Model","not yet collected","Stored as data property on SystemState instances","no","—","D2.3 computation + ontology triple store","high","Enables trajectory analysis and antifragility cycle detection"
"92","Layer 1","KPI","output","Post-Disruption Overcompensation","supply","D2.5","§6.4.4 SystemState","""PerformanceDelta""","system_performance_delta","Change in composite performance index between two SystemState instances (e.g., pre- and post-disruption): ΔĒ = Ē_post − Ē_base","dimensionless","city","irregular","dynamic","yes","event-based","numeric","D2.3 model","not yet collected","Computed from PerformanceTs","no","—","Computational","high","Key antifragility signal: ΔĒ > 0 indicates improvement"
"93","Layer 1","KPI","input","General/Context","supply","D2.5","§6.4.4","""EquilibriumGap — distance to desired equilibrium state""","equilibrium_gap","Difference between current system state and the desired equilibrium target Ē: gap = Ē − E(t)","dimensionless","city","daily","dynamic","yes","daily","numeric","D2.3 Target-Setting Model","not yet collected","Ontology concept introduced to address identified gap in D2.5 §4.5.1","no","—","D2.3 computation","high","Drives convergence dynamics ∂E/∂t = −κ(E−Ē)"
"94","Layer 1","input_variable","input","Stressor Response","disruption","D2.5","§6.4.3","""hasDisruptionDomain — links DisruptionEvent to D2.1 domain taxonomy""","disruption_event_domain_ontology","Ontology object property linking a disruption event to its D2.1 domain classification (Transport / Environment & Weather / Utilities / Public Space)","categorical","city","irregular","dynamic","yes","per event","categorical","D2.1 event catalogue","available in D2.1","Reuses D2.1 domain categories as ontology classification","no","—","Event ingestion → ontology triple store","high","D2.5 semantic bridge to D2.1 taxonomy"
"95","Layer 1","input_variable","input","Stressor Response","disruption","D2.5","§6.4.3","""hasScale — links DisruptionEvent to scale (Daily/Mid/Large)""","disruption_event_scale_ontology","Ontology property linking a disruption event to its D2.1 scale classification","ordinal","city","irregular","dynamic","yes","per event","ordinal","D2.1 event catalogue","available in D2.1","Reuses D2.1 scale definitions","no","—","Event ingestion → ontology triple store","high","D2.5 semantic bridge to D2.1 taxonomy"
"96","Layer 1","KPI","input","General/Context","disruption","D2.5","§6.4.3","""hasSeverityLevel — links DisruptionEvent to severity 1–5""","disruption_event_severity_ontology","Ontology property linking a disruption event to its severity level (1–5)","ordinal","city","irregular","dynamic","yes","per event","ordinal","D2.1 event catalogue; sensor/social media","available in D2.1","Reuses D2.1 severity scheme","no","—","Event ingestion → ontology triple store","high","D2.5 semantic bridge to D2.1 taxonomy"
"97","Layer 1","KPI","input","General/Context","disruption","D2.5","§6.4.3","""hasImpactType — links DisruptionEvent to impact type""","disruption_impact_type_ontology","Ontology property classifying the impact type of a disruption event (passenger mobility, freight mobility, infrastructure)","categorical","city","irregular","dynamic","yes","per event","categorical","D2.1 event catalogue","available in D2.1","Three impact types per D2.1 Table 1","no","—","Event ingestion → ontology triple store","medium","Extends D2.1 taxonomy in ontology"
"98","Layer 1","KPI","input","General/Context","supply","D2.5","§6.4.10","""hasKPINumber — Unique identifier (1-209) from KPI catalogue""","kpi_catalogue_identifier","Integer identifier (1–209) for each KPI in the Task 2.7 extended KPI catalogue; enables cross-referencing across documents","integer [1–209]","city","annual","static","no","annual","numeric","D2.7 KPI catalogue (KPIs Survey_RESULTS.xlsx)","available","D2.5 domain: KpiObservation","no","—","KPI survey; stakeholder scoring","medium","Metadata property; enables traceability"
"99","Layer 1","KPI","input","General/Context","supply","D2.5","§6.4.10","""hasStakeholderSelectionCount — Number of stakeholders (0-5) who selected this KPI""","kpi_stakeholder_selection_count","Count of stakeholders (out of 5: ETH, Cardiff, DEMO, AUTh, Bratislava) who selected a KPI as relevant; CoreKPI threshold: ≥4","integer [0–5]","city","annual","static","no","annual","numeric","D2.7 KPI survey results","available","D2.5 domain: KpiObservation","no","—","Stakeholder survey","high","CoreKPI (≥4) vs extended catalogue classification criterion"
"100","Layer 1","input_variable","input","Cross-System Integration","supply","D2.5 · D2.6 (DR-02: ""SUMA shall store and expose basic metadata — time, provenance, uncertainty/quality flags"")","§6.4.10","""hasDataQualityScore, hasAccuracy, hasCompleteness""","data_quality_score","Composite data quality assessment score for each KPI observation; components: accuracy and completeness","dimensionless [0,1]","city","irregular","dynamic","yes","per observation","numeric","Data quality assessment systems; D2.5 QualityAssessment class","not yet collected","D2.5 class QualityAssessment (SubClassOf: DataProvenance)","no","—","Automated data quality monitoring","high","Provenance metadata for all KPI observations"
"101","Layer 1","KPI","input","Cross-System Integration","supply","D2.5 · D2.6 (GR-02: ""Auditability and accountability""; DR-02: ""Data quality metadata"")","§6.4.10","""hasConfidenceLevel, hasTrustScore""","data_trust_score","Confidence level and trust score assigned to each KPI observation based on source reliability and validation status","dimensionless [0,1]","city","irregular","dynamic","yes","per observation","numeric","D2.5 UncertaintyEstimate class","not yet collected","Includes hasUncertaintyValue and hasConfidenceLevel","no","—","Source reliability assessment; D2.5 provenance module","high","Critical for multi-source data fusion in SUMA"
"102","Layer 1","KPI","input","Post-Disruption Overcompensation","supply","D2.5","§6.5.4","""hasAntifragilityScore — on SystemState""","system_state_antifragility_score","Data property on SystemState: the antifragility score (AF value) for a specific system state at a specific time","dimensionless","city","daily","dynamic","yes","daily","numeric","D2.3 computation","not yet collected","Range: xsd:double; linked to KpiObservation instances","no","—","D2.3 model → ontology triple store","high","Bridge between D2.3 model output and D2.5 semantic layer"
"103","Layer 1","KPI","input","Adaptive Capacity","supply","D2.5","§6.5.4","""hasAdaptiveCapacity — on SystemState""","system_state_adaptive_capacity","Data property on SystemState representing the system's current adaptive capacity; composite of A(t), B(t), L_index","dimensionless","city","daily","dynamic","yes","daily","numeric","D2.3 A(t), B(t), L_index","not yet collected","D2.5 data property linking to adaptation velocity and compliance indicators","no","—","D2.3 computation → ontology","high","Semantic representation of adaptive capacity dimension"
"104","Layer 1","input_variable","input","Cross-System Integration","environment","D2.5 · D2.6 (DEL-R2: ""PESTEL Contextual Integration"")","§6.5.5","""Environment, climate and PESTEL context module — covers emissions control, energy optimization, climate stress anticipation""","pestel_context_classification","PESTEL classification of contextual factors affecting mobility antifragility: Political, Economic, Social, Technological, Legal, Environmental; used to structure constraint identification in D2.3","categorical (PESTEL dimension)","city","annual","quasi-static","no","annual","categorical","Policy documents; regulatory frameworks; stakeholder consultation","partial","D2.5 module; informs feasibility constraints in D2.3","no","—","Document analysis; stakeholder workshops","medium","Governance context variable; shapes feasibility sets in D2.3"
"105","Layer 1","input_variable","input","Equity Maintenance","social","D2.5","§6.5.6","""Actors, governance, policies and equity module — equity groups: elderly, low-income, car-less""","equity_group_classification","Classification of population sub-groups for equity analysis: elderly, low-income, car-less (mobility-impaired); linked to AccessibilityLoss and equity penalty Q(t)","categorical","neighbourhood","annual","quasi-static","no","annual","categorical","Census; municipal GIS; social survey","partial","D2.5 Actor & Equity module; groups defined for Theil-T decomposition","no","—","Census + mobility survey stratification","high","Equity groups drive Q(t) Theil-T within/between decomposition"
"106","Layer 1","input_variable","input","Cross-System Integration","digital","D2.5","§6.4.10.3","""DataSource subclasses: IoTSensor, TrafficSensor, GISData, ModelOutput, SurveyData""","data_source_type","Classification of data sources contributing KPI observations: IoT sensor, traffic sensor, GIS data, model output, or survey data","categorical","city","annual","static","no","annual","categorical","D2.5 ontology","available","D2.5 DataSource class with 5 SubClasses","no","—","Metadata tagging at data ingestion","high","Provenance metadata; links each KPI to its source type"
"107","Layer 1","KPI","input","General/Context","digital","D2.5","§6.5.4","""Digital twin and learning concepts — LongtermLearning, StructuralChange, AdaptiveTransformativeState""","long_term_learning_state","Ontology class representing system states where structural changes have been permanently embedded through validated long-term learning; corresponds to D2.3 g_long activations","categorical","city","irregular","dynamic","yes","event-based","categorical","D2.3 Layer 3 output; operator records","not yet collected","D2.5 class LongtermLearning; requires Antifragility Gate validation","no","—","D2.3 Layer 3 + ontology state transition","high","Semantic representation of D2.3 permanent capacity improvement"
"108","Layer 1","KPI","input","Stressor Response","disruption","D2.5","§6.4.3","""Cascade — SubClassOf DisruptionEvent""","cascade_event_flag","Binary flag indicating whether a disruption event propagates as a cascade (affects multiple systems or domains beyond initial impact)","binary","city","irregular","dynamic","yes","event-based","binary","D2.1 event catalogue; cross-system operator logs","partial","D2.5 class Cascade (SubClassOf: DisruptionEvent)","no","—","Event catalogue coding; cross-system incident log analysis","high","Enables cascade pathway analysis linked to D2.1 §4.4"
"109","Layer 1","KPI","input","General/Context","infrastructure","D2.5 · D2.7 (catalogue KPI F.1 subgroup: ""Network density / Total roads length per area"")","§6.5.1","""Transport network and infrastructure module — NetworkDensity, PublicTransportAvailability, InfrastructureSpatialFeatures""","transport_network_density","Density of transport network links (road, rail, cycling) per km² of urban area","links · km⁻²","city","annual","quasi-static","yes","annual","numeric","Municipal GIS; OpenStreetMap","available","D2.5 InfrastructureIndicator subclass NetworkDensity","no","—","GIS network analysis","medium","Structural network characteristic; feeds R(t) and C(t)"
"110","Layer 1","KPI","input","General/Context","supply","D2.5","§6.5.2","""hasModalSplit, hasTravelTime, hasRidership, hasAccessibilityIndex — linked to Observation instances via SOSA/SSN framework""","gtfs_service_performance_properties","Bundle of GTFS-derived performance properties on MobilityService: modal split, travel time, ridership, accessibility index; linked to SOSA/SSN observations","numeric (per property)","city","daily","dynamic","yes","daily","numeric","GTFS; AFC smart-card; operator APIs","partial (GTFS)","D2.5 properties on MobilityService class; SOSA/SSN integration","no","—","GTFS feed parsing; AFC system","high","Core service performance monitoring bundle"
"111","Layer 1","KPI","input","General/Context","governance","D2.5 · D2.6 (DEL-R8: ""Stakeholder Coordination""; DEL-R16: ""Multi-Level Coordination and Synchronisation"")","§6.5.6","""Governance & Policy module — Regulation, LegalConstraint, LegalBasis, inter-agency coordination, crisis management structures""","governance_coordination_indicator","Categorical assessment of inter-agency governance coordination quality for transport disruption management; captures regulatory framework, legal basis, and crisis structure","categorical","city","annual","quasi-static","no","annual","categorical","Policy documents; regulatory frameworks; operator agreements","partial","D2.5 Governance & Policy module","no","—","Document analysis; stakeholder interview","medium","Institutional readiness indicator for antifragility"
"112","Layer 1","KPI","input","General/Context","digital","D2.5","§6.4.10","""hasKPIGroup — Main KPI group from catalogue (e.g., 'Ecological impacts', 'Transport Modes')""","kpi_thematic_group","Thematic group classification of each KPI from the D2.7 catalogue (7 groups: Network/System performance, Ecological impacts, Transport Modes/Travel Times, Transport safety, Accessibility/costs/satisfaction, Land use/Infrastructure, Urban development/growth)","categorical","city","annual","static","no","annual","categorical","D2.7 KPI catalogue","available","D2.5 hasKPIGroup property; 7 main groups","no","—","KPI survey classification","medium","Metadata for navigation and reporting"
"113","Layer 2","computed_variable","output","General/Context","supply","D2.3","§Sensitivity","""Bootstrap confidence intervals — for AF threshold validation""","af_bootstrap_confidence_interval","95% bootstrap confidence interval for the Antifragility Factor AF; reported alongside AF point estimate for statistical reliability","dimensionless (lower, upper bound)","city","irregular","dynamic","yes","30-day rolling window","numeric","D2.3 model output","not yet collected","Bonferroni correction if testing >5 scenarios","no","—","Bootstrap resampling of KPI time series","high","Statistical validity gate for AF decision"
"114","Layer 2","computed_variable","output","General/Context","supply","D2.3","§Sensitivity","""CUSUM — Cumulative Sum change-detection applied to performance time series""","cusum_change_detection","Cumulative Sum (CUSUM) test statistic for detecting sustained shifts in the performance time series Ē(t); signals when system has moved to a significantly different equilibrium","dimensionless","city","daily","dynamic","yes","daily","numeric","D2.3 performance time series","not yet collected","Used alongside 5-period stability test","no","—","CUSUM algorithm applied to Ē(t)","high","Change-point detection complementing stability test"
"115","Layer 1","KPI","input","General/Context","governance","D2.6","§6.3 Table 5","""Experts rate each requirement on a 7-point Likert scale, and consensus is achieved using an Interquartile Range (IQR)-based threshold""","delphi_requirement_iqr_score","Interquartile range of expert scores (1–7 Likert) for each SUMA requirement statement; thresholds: IQR ≤ 1.0 = high consensus, 1.0–2.0 = moderate, >2.0 = low","IQR (Likert points)","city","irregular","static","no","per consultation round","numeric","D2.6 Delphi expert panel (n=9 experts)","available (D2.6 Table 6, Table 7)","35 of 47 requirements at high consensus (IQR ≤ 1.0); 1 at low (IQR=3.0)","no","—","Structured Delphi-inspired expert scoring; 7-point Likert; single-round design","high","Governs which requirements enter WP5 baseline vs. backlog"
"116","Layer 1","KPI","input","General/Context","governance","D2.6","§6.3 Table 5","""overall ratings were consistently positive: the mean requirement score was 5.91, the median across requirements was 6.0""","delphi_requirement_median_score","Median expert score on 7-point Likert scale for each SUMA requirement statement (DEL-R01–DEL-R47)","Likert score (1–7)","city","irregular","static","no","per consultation round","numeric","D2.6 Delphi expert panel","available (D2.6 Table 6, Table 7)","Median 6.0 across all 47 requirements; min mean ≥ 5.0","no","—","Structured Delphi scoring","medium","Complements IQR; both needed for full prioritisation picture"
"117","Layer 1","KPI","input","General/Context","governance","D2.6","§6.3 Table 5","""mean requirement score was 5.91""","delphi_requirement_mean_score","Mean expert score on 7-point Likert scale for each SUMA requirement statement","Likert mean (1–7)","city","irregular","static","no","per consultation round","numeric","D2.6 Delphi expert panel","available (D2.6 Table 6, Table 7)","Range 5.11–6.78 across requirements","no","—","Structured Delphi scoring","medium","Supplementary to IQR; not sole decision criterion per D2.6 methodology"
"118","Layer 1","input_variable","input","General/Context","governance","D2.6","§6.3 Table 5","""consensus distribution across requirements — High consensus: 35 (74.5%), Moderate: 10 (21.3%), Low: 1 (2.1%)""","delphi_consensus_category","Consensus category assigned to each SUMA requirement: high (IQR ≤ 1.0), moderate (IQR 1.0–2.0), or low (IQR > 2.0)","categorical","city","irregular","static","no","per consultation round","categorical","D2.6 Delphi expert panel","available (D2.6 Table 5)","Three-level classification per D2.6 Table 5","no","—","IQR-based threshold classification","high","Determines WP5 baseline (high) vs. backlog (moderate/low) status"
"119","Layer 3","KPI","output","General/Context","digital","D2.6","§FR-06; DEL-R7","""real-time data integration to enable disruption detection — latency not exceeding 60 seconds""","suma_data_ingestion_latency","Maximum permissible latency (seconds) from event occurrence to system ingestion and dashboard/API update in SUMA; target: ≤ 60 seconds","seconds","city","real-time","dynamic","yes","continuous","numeric","SUMA system logs; ingestion pipeline monitoring","not yet collected","FR-06 target; DEL-R7 specifies ≤60 s; system not yet built","no","—","SUMA performance testing; ingestion timestamp monitoring","high","Tool/performance KPI (Layer 3); to be formally defined in D3.3"
"120","Layer 3","KPI","output","General/Context","digital","D2.6","§FR-04; DEL-R29","""real-time evaluation of alternative response options with comparative outcome projections completed within 5 minutes for time-critical decisions""","suma_scenario_evaluation_time","Time in minutes from scenario initiation to delivery of comparative outcome projections in SUMA; target: ≤ 5 minutes","minutes","city","real-time","dynamic","yes","per scenario run","numeric","SUMA system logs","not yet collected","DEL-R29 specifies ≤5 min; system not yet built","no","—","SUMA performance test; scenario execution timing","high","Tool/performance KPI (Layer 3); DEL-R29"
"121","Layer 3","KPI","output","General/Context","digital","D2.6 · KPI_Gap_Analysis (§2 Table: KPI-3.4/EO1-KPI-7: RTD <1 min detect; <5 min analyse; §7B)","§DEL-R7","""rapid automated or one-click responses deployable within 2 minutes of event detection""","suma_response_deployment_time","Time in minutes from event detection to deployment of automated or one-click intervention response in SUMA; target: ≤ 2 minutes","minutes","city","real-time","dynamic","yes","per event","numeric","SUMA system logs","not yet collected","DEL-R7; distinct from detection latency","no","—","SUMA performance test","high","Tool/performance KPI (Layer 3)"
"122","Layer 3","KPI","output","General/Context","digital","D2.6","§DEL-R11","""Real Traffic Data — updated at intervals not exceeding 5 minutes with anomaly detection for unusual conditions""","live_traffic_data_update_interval","Interval in minutes at which live traffic data is refreshed across major road segments in the SUMA monitoring pipeline; target: ≤ 5 minutes","minutes","city","real-time","dynamic","yes","continuous","numeric","Traffic sensor network; SUMA data pipeline","not yet collected","DEL-R11; moderate consensus (IQR=2.0)","yes","gps_probe_refresh_rate","Traffic sensor API; SUMA ingestion pipeline","high","Distinct from SUMA latency (row 125); concerns source data refresh"
"123","Layer 3","KPI","output","Post-Disruption Overcompensation","governance","D2.6 · KPI_Gap_Analysis (§6 Bridge table: AntifragilityFactor computed from D2.3 trajectory; Layer 2→Layer 3 link)","§DEL-R26","""Antifragility Score Calculation — calculating metrics that quantify how much the city improves after disruptions, with temporal tracking and comparative benchmarking between cities or subsystems""","antifragility_score_improvement_trajectory","Time-series of antifragility score values showing improvement trajectory post-disruption; enables comparative benchmarking across cities or subsystems over time","dimensionless time series","city","irregular","dynamic","yes","per disruption cycle","numeric","D2.3 AF computation; SUMA","not yet collected","DEL-R26 (moderate consensus, IQR=2.0); explicitly calls for temporal tracking and city-level benchmarking","no","—","D2.3 Target-Setting Model → SUMA time-series storage","high","Extends row 68 (antifragility_factor_AF) by adding longitudinal and comparative dimensions; new dimension: cross-city benchmarking"
"124","Layer 3","KPI","output","Institutional Learning","governance","D2.6","§DEL-R27","""Long-Term Transformative Learning — flagging when transformative changes may be warranted, and tracking performance trajectories over years and decades""","long_term_performance_trajectory","Multi-year performance trajectory of the urban mobility system as tracked in SUMA; used to flag when transformative institutional changes are warranted","dimensionless time series (multi-year)","city","annual","dynamic","yes","annual","numeric","SUMA; D2.3 model; operator records","not yet collected","DEL-R27 (moderate consensus, IQR=2.0)","no","—","SUMA longitudinal performance tracking","medium","Extends governance learning property beyond D2.3 30-day window to multi-year institutional scale"
"125","Layer 1","KPI","input","General/Context","supply","D2.6","§DEL-R3","""Evacuation and Rerouting Prioritisation — pre-defined evacuation priority frameworks with traffic management capabilities, phased timing, and provisions for individuals with special mobility needs""","evacuation_route_priority_score","Composite priority score for evacuation routes accounting for traffic management capability, phased timing, and mobility-impaired user provisions","ordinal / numeric","corridor","irregular","dynamic","yes","event-based","numeric","Municipal emergency management plans; transport authority evacuation protocols","partial","DEL-R3 (high consensus, IQR=1.0, mean=6.44)","yes","emergency_vehicle_access_indicator","Municipal emergency plan review; operator protocols","high","New dimension: evacuation planning and emergency routing"
"126","Layer 1","KPI","input","Equity Maintenance","social","D2.6","§DEL-R18","""Citizen Mobility Condition — accounting for citizens' specific mobility constraints to tailor routing recommendations and provide priority evacuation support during emergencies""","citizen_mobility_constraint_flag","Binary or ordinal classification of individual or household mobility constraints (e.g., mobility-impaired, car-less, elderly) affecting routing and evacuation priority","ordinal / binary","neighbourhood","annual","quasi-static","no","annual","ordinal","Census; municipal disability registry; household survey","partial","DEL-R18 (high consensus, IQR=1.0, mean=6.22)","yes","equity_group_classification","Census integration; household survey","high","Operationalises DEL-R18; aligns with decomposition framework equity groups"
"127","Layer 1","KPI","input","General/Context","supply","D2.6","§DEL-R28","""Mobility of Emergency Response Services — ensuring emergency vehicles can move unhindered during disruptions through signal pre-emption, optimised routing, and contingency plans for degraded network conditions""","emergency_vehicle_travel_time","Travel time of emergency vehicles (ambulance, fire, police) to target destinations under disrupted network conditions vs. baseline","minutes","city","real-time","dynamic","yes","event-based","numeric","Emergency services dispatch records; GPS tracking","partial","DEL-R28 (high consensus, IQR=0.0, mean=6.78) — highest-rated requirement","yes","network_stress_S","Emergency dispatch log; GPS probe data","high","Key operational antifragility indicator; degraded network performance directly measured"
"128","Layer 1","KPI","input","General/Context","economic","D2.6","§DEL-R24","""Economic Impact Modelling — quantifying economic costs of disruptions, optimising resource allocation for recovery, and analysing distributional economic impacts across communities and sectors""","disruption_economic_cost","Estimated total economic cost of a disruption event including direct damage, productivity losses, and recovery resource expenditure; disaggregated by community/sector","currency (EUR)","city","irregular","dynamic","yes","per event","numeric","Municipal economic reports; operator records; national statistics","partial","DEL-R24 (high consensus, IQR=1.0, mean=6.22)","yes","emdat_estimated_damage_usd","Post-event economic assessment; operator cost records","high","Extends EM-DAT economic variables to city-level operational scale"
"129","Layer 3","KPI","output","Adaptive Capacity","supply","D2.6","§DEL-R36","""Learn to Reroute Proactively — predictive detection of emerging disruptions and proactive traffic rerouting before congestion or blockage fully develops, with continuous improvement of predictive accuracy""","proactive_rerouting_prediction_accuracy","Accuracy of SUMA's predictive detection of emerging disruptions prior to full congestion/blockage development; tracks improvement in prediction accuracy over successive events","%","city","real-time","dynamic","yes","per event cycle","numeric","SUMA system logs; historical event records","not yet collected","DEL-R36 (moderate consensus, IQR=2.0)","no","—","SUMA prediction log; confusion matrix on proactive routing decisions","medium","New dimension: predictive (ex-ante) vs reactive disruption response"
"130","Layer 1","KPI","input","General/Context","environment","D2.6","§DEL-R9; DEL-R46","""Environment-Friendly Traffic Control — traffic management approaches that deliver environmental co-benefits alongside resilience, incorporating antifragile control algorithms that reduce vehicle idling time and associated pollutant emissions""","vehicle_idling_time_reduction","Reduction in average vehicle idling time (minutes per vehicle per hour) achieved through antifragile signal control algorithms vs. baseline; proxy for co-benefit of environmental and resilience management","minutes · vehicle⁻¹ · h⁻¹ (reduction)","corridor","hourly","dynamic","yes","hourly","numeric","Loop detectors; fuel consumption sensors; SCADA traffic signal control","partial","DEL-R9 (high consensus IQR=1.0); DEL-R46 (moderate IQR=2.0)","yes","pollutant_emissions_transport","Loop detector + signal SCADA","medium","New dimension: co-benefit measurement linking traffic control to environmental outcomes"
"131","Layer 3","input_variable","output","Cross-System Integration","digital","D2.6","§DEL-R22","""Data Provenance and Trust Management — tracking data sources and managing trust through provenance recording, source trust scoring, and cross-validation protocols for critical data types""","source_trust_score_dynamic","Dynamic per-observation trust score assigned based on source type, historical accuracy, and cross-validation against other sources; updated over time as source reliability evidence accumulates","dimensionless [0,1]","city","irregular","dynamic","yes","per observation","numeric","SUMA data pipeline; source validation records","not yet collected","DEL-R22 (moderate consensus, IQR=2.0)","no","—","Automated cross-validation pipeline in SUMA","high","Extends static data_trust_score (row 107) with dynamic, cross-validated trust updating"
